Frame Number,Equation Line AB,Equation Line AC,Angle A,Angle B,Angle C
31,y = 2.85x + -173.76,y = -0.04x + 386.28,90.62901367352765,39.34664058711472,50.02434573935764
32,y = 2.86x + -176.68,y = -0.04x + 386.25,90.6236125662652,39.34897933902508,50.02740809470974
33,y = 2.86x + -175.46,y = -0.04x + 386.23,90.6238115871081,39.348486931109036,50.02770148178287
34,y = 2.88x + -180.63,y = -0.04x + 386.18,90.61350409432079,39.31717126850251,50.069324637176706
35,y = 2.90x + -183.49,y = -0.04x + 386.13,90.60684155038388,39.27291167277146,50.12024677684466
36,y = 2.90x + -184.35,y = -0.04x + 386.09,90.6037570192008,39.26080385727025,50.13543912352895
37,y = 2.95x + -194.50,y = -0.04x + 386.07,90.58807590063508,39.16461799072906,50.247306108635875
38,y = 2.98x + -200.40,y = -0.04x + 386.04,90.5791716668211,39.12925747171849,50.29157086146042
39,y = 3.02x + -206.30,y = -0.04x + 386.04,90.57055208924982,39.069109991580625,50.36033791916955
40,y = 3.03x + -208.45,y = -0.04x + 386.03,90.56757762903311,39.06809478908615,50.364327581880744
41,y = 3.04x + -211.43,y = -0.04x + 386.01,90.56308067238554,39.050064400685436,50.38685492692902
42,y = 3.05x + -213.30,y = -0.04x + 386.00,90.56057233132633,39.05027134077614,50.389156327897524
43,y = 3.10x + -222.09,y = -0.04x + 385.99,90.55018157963892,39.03088881116423,50.41892960919685
44,y = 3.09x + -221.48,y = -0.04x + 385.95,90.5483355296182,38.97941960622277,50.47224486415904
45,y = 3.08x + -219.75,y = -0.04x + 385.91,90.54837435671456,38.95480823392716,50.496817409358286
46,y = 3.10x + -223.05,y = -0.04x + 385.87,90.54382328436596,38.9526836336984,50.503493081935666
47,y = 3.10x + -223.24,y = -0.04x + 385.85,90.54292868487127,38.96049689803628,50.49657441709246
48,y = 3.11x + -225.01,y = -0.04x + 385.83,90.54073393192652,38.971862973512984,50.48740309456048
49,y = 3.12x + -225.72,y = -0.04x + 385.80,90.53937981789149,38.98199829856553,50.478621883542985
50,y = 3.12x + -226.83,y = -0.04x + 385.79,90.53796202232363,38.98400832070596,50.47802965697041
51,y = 3.13x + -227.87,y = -0.04x + 385.78,90.53661141753524,38.9809308984015,50.48245768406327
52,y = 3.15x + -232.49,y = -0.04x + 385.74,90.53063405691222,38.968845574819234,50.50052036826854
53,y = 3.13x + -228.78,y = -0.04x + 385.62,90.53171373589339,39.01234821233928,50.45593805176734
54,y = 3.06x + -215.10,y = -0.04x + 385.49,90.54217412437109,38.9680015376716,50.489824337957344
55,y = 2.92x + -187.40,y = -0.04x + 385.32,90.56549748670086,38.806792605088276,50.62770990821084
56,y = 2.81x + -166.40,y = -0.04x + 385.21,90.58874908190096,38.793736699257835,50.61751421884124
57,y = 2.71x + -147.88,y = -0.04x + 384.99,90.6065411497341,38.78792031310805,50.60553853715785
58,y = 2.56x + -118.38,y = -0.04x + 384.73,90.64166004251828,38.81646073370035,50.54187922378138
59,y = 2.48x + -103.25,y = -0.04x + 384.68,90.6633750896523,38.813867737563264,50.522757172784424
60,y = 2.41x + -90.52,y = -0.04x + 384.66,90.68214130157959,38.793834584619695,50.52402411380072
61,y = 2.25x + -58.14,y = -0.04x + 384.65,90.73860476613577,38.78878960702889,50.47260562683536
62,y = 2.11x + -31.97,y = -0.04x + 384.65,90.78636602447396,38.63705259817084,50.5765813773552
63,y = 1.98x + -6.17,y = -0.04x + 384.63,90.84413977689617,38.65280931883977,50.503050904264065
