Frame,Line1 Equation,Line2 Equation,Angle A (degrees),Angle B (degrees),Angle C (degrees)
28,y = -0.75x + 573.92,y = -0.03x + 472.77,34.89700513564925,143.28696912106287,1.816025743287895
29,y = -0.74x + 573.67,y = -0.03x + 472.74,34.8361126615015,143.34895315805005,1.8149341804484607
30,y = -0.75x + 573.89,y = -0.03x + 472.74,34.88986119934392,143.29594580560308,1.8141929950529914
31,y = -0.75x + 574.07,y = -0.03x + 472.73,34.9282632056467,143.25805589138264,1.8136809029706455
32,y = -0.75x + 573.93,y = -0.03x + 472.71,34.90198483014889,143.28266323062942,1.8153519392216992
33,y = -0.75x + 574.14,y = -0.03x + 472.68,34.96778996762684,143.21684461706514,1.8153654153080083
34,y = -0.75x + 573.97,y = -0.03x + 472.67,34.929507297021864,143.25581456832495,1.8146781346531782
35,y = -0.74x + 573.67,y = -0.03x + 472.63,34.863240297376436,143.3267982139981,1.8099614886254756
36,y = -0.74x + 573.43,y = -0.03x + 472.60,34.80930933551229,143.38463727259224,1.8060533918954604
37,y = -0.74x + 573.16,y = -0.03x + 472.58,34.746989040870425,143.45019186689782,1.8028190922317435
38,y = -0.74x + 572.90,y = -0.03x + 472.56,34.68455468875328,143.51521366702215,1.8002316442245672
39,y = -0.74x + 572.65,y = -0.03x + 472.54,34.62400438932728,143.5768959772613,1.7990996334114016
40,y = -0.74x + 572.63,y = -0.03x + 472.54,34.61703534330314,143.58387849961326,1.7990861570835932
41,y = -0.74x + 572.53,y = -0.03x + 472.53,34.59326947345842,143.60839904412558,1.7983314824160175
42,y = -0.74x + 572.48,y = -0.03x + 472.52,34.58274755099123,143.61982388174673,1.7974285672620454
43,y = -0.74x + 572.44,y = -0.03x + 472.52,34.572051838248335,143.63061392896046,1.7973342327912007
44,y = -0.74x + 572.38,y = -0.03x + 472.51,34.55972394733329,143.64465331839207,1.7956227342746445
45,y = -0.74x + 572.40,y = -0.03x + 472.50,34.56729535469911,143.63799830525076,1.7947063400501122
46,y = -0.74x + 572.37,y = -0.03x + 472.49,34.55889380531085,143.6474644902589,1.7936417044302573
47,y = -0.74x + 572.38,y = -0.03x + 472.49,34.56210040853142,143.64482389635367,1.7930756951149078
48,y = -0.74x + 572.28,y = -0.03x + 472.49,34.53647098848873,143.67085760897842,1.7926714025328465
49,y = -0.73x + 572.22,y = -0.03x + 472.48,34.51891057646749,143.68862016735804,1.7924692561744848
50,y = -0.73x + 572.11,y = -0.03x + 472.48,34.492423041370685,143.7157410946657,1.7918358639636267
51,y = -0.73x + 572.08,y = -0.03x + 472.48,34.48475041505727,143.72372367902943,1.7915259059132893
52,y = -0.73x + 571.80,y = -0.03x + 472.47,34.412138359264695,143.79717127443647,1.7906903662988327
53,y = -0.73x + 571.98,y = -0.03x + 472.46,34.461761231369636,143.7478179314018,1.7904208372285666
54,y = -0.74x + 573.02,y = -0.03x + 472.46,34.73360526659626,143.47492273324892,1.791472000154812
55,y = -0.75x + 574.88,y = -0.03x + 472.46,35.21189430017112,142.99569034935723,1.7924153504716571
56,y = -0.77x + 576.80,y = -0.03x + 472.47,35.70040946512768,142.50509981712617,1.7944907177461573
57,y = -0.77x + 577.55,y = -0.03x + 472.47,35.88708763726527,142.3184351213841,1.79447724135062
58,y = -0.78x + 579.13,y = -0.03x + 472.49,36.27072852040822,141.9355489167165,1.7937225628752742
59,y = -0.80x + 581.32,y = -0.03x + 472.55,36.789045584958224,141.41131572868687,1.7996386863549105
60,y = -0.81x + 582.83,y = -0.03x + 472.60,37.14390037979878,141.05460120363807,1.8014984165631631
61,y = -0.83x + 586.36,y = -0.03x + 472.72,37.938385904912714,140.2434187061214,1.8181953889659042
62,y = -0.86x + 589.96,y = -0.03x + 472.90,38.729686056795046,139.4286974951313,1.841616448073637
63,y = -0.87x + 592.31,y = -0.03x + 473.02,39.23719040886966,138.91095167615666,1.8518579149736922
64,y = -0.88x + 592.91,y = -0.03x + 473.04,39.3705670596318,138.7817928783838,1.8476400619843787
65,y = -0.87x + 592.74,y = -0.03x + 473.07,39.32836383500319,138.82764799830073,1.8439881666960787
66,y = -0.87x + 592.15,y = -0.03x + 473.08,39.197508394699334,138.96254614459343,1.8399454607072414
67,y = -0.86x + 590.57,y = -0.03x + 473.08,38.84754443373569,139.31376334813658,1.8386922181277328
68,y = -0.84x + 587.85,y = -0.03x + 473.08,38.23413895055708,139.92760005497544,1.8382609944674755
69,y = -0.83x + 585.70,y = -0.03x + 473.07,37.740219403291135,140.42282675023426,1.8369538464746142
70,y = -0.82x + 584.80,y = -0.03x + 473.10,37.528827847628975,140.63377360584911,1.8373985465219107
71,y = -0.82x + 585.12,y = -0.03x + 473.21,37.58298536519622,140.56750146630074,1.849513168503023
72,y = -0.81x + 583.71,y = -0.03x + 473.31,37.23612360353584,140.90875740763659,1.85511898882757
73,y = -0.80x + 581.47,y = -0.03x + 473.45,36.683497326336294,141.46686822501877,1.8496344486449345
74,y = -0.80x + 581.59,y = -0.03x + 473.73,36.647218391634695,141.5043330107081,1.8484485976572103
75,y = -0.79x + 581.14,y = -0.03x + 473.88,36.515933656990185,141.64507765873643,1.838988684273403
76,y = -0.80x + 582.29,y = -0.03x + 474.10,36.756296836549666,141.39525456579327,1.8484485976570681
77,y = -0.80x + 581.96,y = -0.03x + 474.17,36.67602082049743,141.49657969955427,1.8273994799482978
78,y = -0.82x + 585.15,y = -0.03x + 474.24,37.46466215133873,140.71711550760767,1.8182223410535983
79,y = -0.84x + 588.25,y = -0.03x + 474.27,38.224616283397616,139.97365620310208,1.8017275135003104
80,y = -0.84x + 588.81,y = -0.03x + 474.30,38.37410806147165,139.84131990162996,1.7845720368983962
81,y = -0.85x + 589.24,y = -0.03x + 474.34,38.50077854877999,139.71390820484527,1.7853132463747556
82,y = -0.86x + 591.26,y = -0.03x + 474.41,38.98047036858242,139.22487719693873,1.7946524344788486
83,y = -0.86x + 590.75,y = -0.03x + 474.43,38.87549786196635,139.32786867590076,1.7966334621328883
84,y = -0.86x + 591.24,y = -0.03x + 474.47,38.9957226670201,139.20140433565956,1.8028729973203497
85,y = -0.87x + 591.96,y = -0.03x + 474.53,39.1569385689085,139.02989262049337,1.813168810598114
86,y = -0.89x + 594.35,y = -0.03x + 474.54,39.722018185727514,138.46183478630604,1.8161470279664513
87,y = -0.89x + 594.16,y = -0.03x + 474.54,39.69981928875769,138.48035472243566,1.819825988806656
88,y = -0.87x + 591.36,y = -0.03x + 474.52,39.09118852839094,139.09049479825595,1.8183166733531095
89,y = -0.83x + 586.34,y = -0.03x + 474.44,37.965691076298086,140.22287853410808,1.811430389593852
90,y = -0.79x + 580.04,y = -0.03x + 474.34,36.49661899367031,141.70688230784677,1.7964986984829068
91,y = -0.73x + 571.65,y = -0.03x + 474.26,34.42139506110788,143.7950840728207,1.7835208660713988
92,y = -0.67x + 562.91,y = -0.03x + 474.01,32.154243493229494,146.09734273650008,1.7484137702704174
93,y = -0.58x + 549.20,y = -0.03x + 473.40,28.412936992219365,149.93616078114937,1.650902226631274
94,y = -0.48x + 535.39,y = -0.03x + 472.90,24.295910625126098,154.13296910930111,1.5711202655727732
95,y = -0.40x + 522.76,y = -0.02x + 472.12,20.298957854011245,158.28691534433878,1.414126801649985
96,y = -0.26x + 502.47,y = -0.02x + 470.65,13.239655067135136,165.64938435476867,1.1109605780961829
97,y = -0.15x + 486.94,y = -0.01x + 469.06,7.598506229389708,171.646887390953,0.7546063796573037
98,y = -0.05x + 473.09,y = -0.01x + 466.91,2.657921906771656,177.04375776286994,0.29832033035839345
99,y = 0.04x + 459.06,y = 0.00x + 463.78,2.0437150195041034,177.68459250778466,0.2716924727112371
100,y = 0.09x + 450.92,y = 0.01x + 461.44,4.555849027392474,174.74716301332245,0.6969879592850816
101,y = 0.12x + 446.98,y = 0.02x + 460.11,5.6921092170388174,173.3638239822462,0.9440668007149782
102,y = 0.15x + 441.38,y = 0.02x + 458.07,7.223358305576501,171.4906355709511,1.28600612347239
103,y = 0.15x + 441.54,y = 0.02x + 458.36,7.283589764916586,171.4196313768759,1.2967788582074888
104,y = 0.15x + 441.57,y = 0.02x + 458.52,7.334712108194245,171.3481502990792,1.3171375927265387
105,y = 0.16x + 442.12,y = 0.02x + 459.50,7.522476174557406,171.14025702952688,1.337266795915724
106,y = 0.16x + 441.38,y = 0.02x + 459.34,7.767096891891911,170.82310384646715,1.4097992616409272
107,y = 0.16x + 441.65,y = 0.02x + 459.28,7.6223513192452605,170.95827762328054,1.4193710574741942
108,y = 0.18x + 438.61,y = 0.03x + 458.85,8.71991676525673,169.63941118692742,1.6406720478158547
109,y = 0.19x + 437.12,y = 0.03x + 458.54,9.216932461714695,169.05566474810556,1.7274027901797524
110,y = 0.22x + 432.93,y = 0.03x + 457.24,10.415274916452791,167.6345821524377,1.9501429311094967
111,y = 0.22x + 432.83,y = 0.03x + 457.16,10.445035008869892,167.59289765273127,1.962067338398839
112,y = 0.22x + 433.12,y = 0.03x + 457.15,10.344695149409345,167.69399204592972,1.9613128046609347
113,y = 0.21x + 433.69,y = 0.03x + 457.14,10.150376966586146,167.87881123767735,1.9708117957364948
114,y = 0.21x + 433.89,y = 0.03x + 457.12,10.1068695478136,167.90518032580877,1.9879501263776262
115,y = 0.22x + 433.16,y = 0.04x + 457.07,10.436261953261702,167.49730919878635,2.066428847951954
116,y = 0.22x + 433.37,y = 0.04x + 457.21,10.466086592372926,167.46214963214544,2.071763775481628
117,y = 0.22x + 435.50,y = 0.04x + 458.80,10.280815177855104,167.68503574144745,2.034149080697432
118,y = 0.19x + 441.60,y = 0.03x + 461.78,8.988484320700385,169.2629401842515,1.748575495048101
119,y = 0.15x + 450.62,y = 0.02x + 466.05,6.969591404479722,171.73725659274777,1.2931520027725014
120,y = 0.10x + 458.47,y = 0.02x + 469.35,4.931373682794165,174.1937573288933,0.874868988312528
121,y = -0.02x + 477.24,y = -0.00x + 474.85,1.0524727568209988,178.83849074716395,0.10903649601505094
122,y = -0.20x + 502.30,y = -0.02x + 477.14,10.469620919043622,168.66640719895898,0.8639718819974007
123,y = -0.48x + 541.70,y = -0.03x + 478.87,23.940066691773076,154.43361603542047,1.6263172728064603
124,y = 1.37x + 271.62,y = -0.05x + 483.75,123.14442055592778,53.939767538905514,2.9158119051667057
125,y = 0.58x + 385.96,y = -0.06x + 485.06,146.51829859350028,29.97523572733441,3.506465679165313
126,y = 0.52x + 394.78,y = -0.06x + 484.93,149.22837061894643,27.250353979029455,3.5212754020241164
127,y = 0.50x + 394.15,y = -0.07x + 484.11,149.4078128868517,26.603314312904914,3.988872800243385
128,y = 0.43x + 400.46,y = -0.06x + 478.94,153.23731878468774,23.1326455161784,3.630035699133856
129,y = 0.31x + 415.13,y = -0.05x + 473.42,159.99796850476508,17.15071172214742,2.8513197730874964
130,y = 0.26x + 421.19,y = -0.04x + 471.53,162.901220207268,14.616287669742729,2.4824921229892603
131,y = 0.17x + 432.37,y = -0.03x + 466.50,168.4492199353072,9.848849835863566,1.7019302288292213
132,y = 0.11x + 439.48,y = -0.02x + 462.22,172.37033319374848,6.467061308570684,1.162605497680837
133,y = 0.09x + 442.24,y = -0.02x + 459.83,174.13649754815006,4.9507233604556085,0.9127790913943308
134,y = 0.07x + 443.97,y = -0.01x + 457.73,175.43638719798693,3.8557538401821976,0.7078589618308708
135,y = 0.06x + 444.04,y = -0.01x + 455.55,176.19036844662287,3.2412244415298157,0.5684071118473146
